tarih;gün;seri;ders;başlık;kanca;kitle;şablon;hassas;kesinlik;mevsim;ruh hali;ışık;gün batımı;gün türü;IG saat;TikTok saat;YT saat;IG etiket;TikTok etiket;YT etiket;YKS kalan;LGS kalan
2027-01-12;Sal;Ders Taktiği;Fizik;Serbest cisim diyagramı;Kuvvet sorusunda formülden önce oklar.;öğrenci;soru-cozum;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:42;17:42;okul;20:30;21:30;19:30;#yks2027 #yks #fizik #tytkampı #eğitimkoçluğu;#yks2027 #yks #fizik #tytkampı #keşfet;#yks2027 #fizik #Shorts;158;152
2027-01-13;Çar;Aynı Hafta;;Plan çok ağır;Plan çok dolu hocam, yetişemiyorum.;öğrenci;yazisma;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:43;17:43;okul;20:30;21:30;19:30;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;157;151
2027-01-14;Per;Veli Köşesi;;Sınav kaygısı belirtileri;Mide ağrısı, uykusuzluk, öfke: kaygı bazen böyle konuşur.;veli;kart-veli;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:44;17:44;veli;21:00;20:30;20:00;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;156;150
2027-01-15;Cum;Doğru Bilinen Yanlışlar;;Tek kaynak yetmez;Çok kaynak değil, bitmiş kaynak.;öğrenci;efsane-gercek;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:45;17:45;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmayöntemleri #bilgi #eğitimkoçluğu;#yks2027 #yks #çalışmayöntemleri #bilgi #keşfet;#yks2027 #çalışmayöntemleri #Shorts;155;149
2027-01-16;Cmt;Deneme Günü;;Dikkat dağılınca;Denemenin ortasında dağıldın mı? 30 saniye gözünü kapat.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:46;17:46;cumartesi;13:00;14:30;12:30;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;154;148
2027-01-17;Paz;Pazar Akşamı;;Ailene teşekkür;Bu hafta evde sana destek olan birine teşekkür et.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:47;17:47;pazar;20:00;21:00;19:00;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;153;147
2027-01-18;Pzt;Haftanın Planı;;Çalışma saatini sabitle;Her gün aynı saatte masaya otur. Gerisi kolay.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:48;17:48;okul;20:30;21:30;19:30;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;152;146
2027-01-19;Sal;Ders Taktiği;Kimya;Periyodik tabloda yön;Sağa ve yukarı: elektronegatiflik artar. Bu kadar.;öğrenci;soru-cozum;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:49;17:49;okul;20:30;21:30;19:30;#yks2027 #yks #kimya #konuanlatımı #eğitimkoçluğu;#yks2027 #yks #kimya #konuanlatımı #keşfet;#yks2027 #kimya #Shorts;151;145
2027-01-20;Çar;Özel Gün;;YKS'ye 150 gün;150 gün kaldı. Panik değil, tempo.;öğrenci;tek-cumle;;tahmini;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:50;17:50;okul;20:30;21:30;19:30;#yks2027 #yks #öğrenci #yks #eğitimkoçluğu;#yks2027 #yks #öğrenci #yks #keşfet;#yks2027 #öğrenci #Shorts;150;144
2027-01-21;Per;Veli Köşesi;;Ödül ve ceza;‘Kazanırsan araba’ vaadi neden işe yaramaz?;veli;kart-veli;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:51;17:51;veli;21:00;20:30;20:00;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;149;143
2027-01-22;Cum;Özel Gün;;Karne günü;Karneye bakmadan önce çocuğunuzun yüzüne bakın.;veli;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:52;17:52;veli;21:00;20:30;20:00;#yks2027 #lgs #öğrenci #yks #eğitimkoçluğu;#yks2027 #lgs #öğrenci #yks #keşfet;#yks2027 #öğrenci #Shorts;148;142
2027-01-23;Cmt;Deneme Günü;;Kolay soruyu kaçırmak;Bu denemede kaç kolay soruyu kaçırdın? En kolay net orada.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:53;17:53;tatil;21:30;22:30;20:30;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #eğitimkoçluğu;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #keşfet;#yks2027 #denemeanalizi #Shorts;147;141
2027-01-24;Paz;Pazar Akşamı;;Uyku borcu;Bu gece erken yat. Pazartesi seni teşekkürle karşılar.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:55;17:55;tatil;21:30;22:30;20:30;#yks2027 #yks #yksmotivasyon #psikoloji #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #psikoloji #keşfet;#yks2027 #yksmotivasyon #Shorts;146;140
2027-01-25;Pzt;Özel Gün;;Yarıyıl: yılın en değerli 16 günü;16 gün okul yok. Yılın en değerli bloğu başladı.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:56;17:56;tatil;21:30;22:30;20:30;#yks2027 #yks #yks #motivasyon #eğitimkoçluğu;#yks2027 #yks #yks #motivasyon #keşfet;#yks2027 #yks #Shorts;145;139
2027-01-26;Sal;Ders Taktiği;LGS Fen;Deney sorularında değişken;Deney sorusunda ilk soru: ne değişti, ne sabit?;öğrenci;soru-cozum;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:57;17:57;tatil;21:30;22:30;20:30;#lgs2027 #lgs #fen #sorubankası #eğitimkoçluğu;#lgs2027 #lgs #fen #sorubankası #keşfet;#lgs2027 #fen #Shorts;144;138
2027-01-27;Çar;Aynı Hafta;;Sınav kaygısı;Denemede ilk 10 dakika hiçbir şey okuyamıyorum.;öğrenci;yazisma;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:58;17:58;tatil;21:30;22:30;20:30;#yks2027 #yks #öğrenci #öğrencihayatı #eğitimkoçluğu;#yks2027 #yks #öğrenci #öğrencihayatı #keşfet;#yks2027 #öğrenci #Shorts;143;137
2027-01-28;Per;Veli Köşesi;;Beslenme;Sınav yılında sabah kahvaltısı neden önemli?;veli;kart-veli;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:59;17:59;veli;21:00;20:30;20:00;#yks2027 #lgs #velirehberi #mersin #eğitimkoçluğu;#yks2027 #lgs #velirehberi #mersin #keşfet;#yks2027 #velirehberi #Shorts;142;136
2027-01-29;Cum;Doğru Bilinen Yanlışlar;;Sabah erken kalkan kazanır;Erken kalkmak değil, düzenli kalkmak.;öğrenci;efsane-gercek;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 18:00;18:00;tatil;21:30;22:30;20:30;#yks2027 #yks #verimliçalışma #dersçalışma #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #dersçalışma #keşfet;#yks2027 #verimliçalışma #Shorts;141;135
2027-01-30;Cmt;Deneme Günü;;Deneme sıklığı;Eylülde haftada 1, mayısta haftada 2.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 18:01;18:01;tatil;21:30;22:30;20:30;#yks2027 #yks #türkiyegenelideneme #denemesınavı #eğitimkoçluğu;#yks2027 #yks #türkiyegenelideneme #denemesınavı #keşfet;#yks2027 #türkiyegenelideneme #Shorts;140;134
2027-01-31;Paz;Pazar Akşamı;;Kötü hafta;Kötü hafta oldu. Kötü yıl olmayacak.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 18:02;18:02;tatil;21:30;22:30;20:30;#yks2027 #yks #psikoloji #motivasyon #eğitimkoçluğu;#yks2027 #yks #psikoloji #motivasyon #keşfet;#yks2027 #psikoloji #Shorts;139;133
2027-02-01;Pzt;Haftanın Planı;;Yorgunluk haftası;Yorgunsan plan küçülür, iptal olmaz.;öğrenci;kart-liste;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:03;18:03;tatil;21:30;22:30;20:30;#yks2027 #yks #dersprogramı #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #dersprogramı #verimliçalışma #keşfet;#yks2027 #dersprogramı #Shorts;138;132
2027-02-02;Sal;Ders Taktiği;Biyoloji;Tuzak kelimeler;‘Yalnızca’ ve ‘kesinlikle’ gördüysen dur.;öğrenci;soru-cozum;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:04;18:04;tatil;21:30;22:30;20:30;#yks2027 #yks #biyoloji #soruçözümü #eğitimkoçluğu;#yks2027 #yks #biyoloji #soruçözümü #keşfet;#yks2027 #biyoloji #Shorts;137;131
2027-02-03;Çar;Aynı Hafta;;Kitaplar bitmiyor;5 kitaba başladım, hiçbiri bitmedi.;öğrenci;yazisma;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:06;18:06;tatil;21:30;22:30;20:30;#yks2027 #yks #öğrencihayatı #sınavstresi #eğitimkoçluğu;#yks2027 #yks #öğrencihayatı #sınavstresi #keşfet;#yks2027 #öğrencihayatı #Shorts;136;130
2027-02-04;Per;Veli Köşesi;;Hafta sonu dengesi;Pazar günü aile gezmesi sınav yılında yasak mı?;veli;kart-veli;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:07;18:07;veli;21:00;20:30;20:00;#yks2027 #lgs #veli #mersin #eğitimkoçluğu;#yks2027 #lgs #veli #mersin #keşfet;#yks2027 #veli #Shorts;135;129
2027-02-05;Cum;Doğru Bilinen Yanlışlar;;Deneme neti = gerçek net;Denemedeki net bir fotoğraf, film değil.;öğrenci;efsane-gercek;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:08;18:08;tatil;21:30;22:30;20:30;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #eğitimkoçluğu;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #keşfet;#yks2027 #dersçalışma #Shorts;134;128
2027-02-06;Cmt;Özel Gün;;6 Şubat;Kaybettiklerimizi rahmetle anıyoruz.;herkes;sade-kart;evet;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:09;18:09;tatil;10:00;10:00;10:00;;;;133;127
2027-02-07;Paz;Pazar Akşamı;;Hedefi küçült;Hedef büyük olabilir. Adım küçük olmalı.;öğrenci;tek-cumle;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:10;18:10;tatil;21:30;22:30;20:30;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;132;126
2027-02-08;Pzt;Özel Gün;;İkinci dönem ve Ramazan;İkinci dönem başladı. Ramazanda çalışma saatleri değişir.;öğrenci;tek-cumle;;tahmini;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:11;18:11;ramazan;20:11;20:41;19:41;#yks2027 #yks #eğitim #öğrenci #eğitimkoçluğu;#yks2027 #yks #eğitim #öğrenci #keşfet;#yks2027 #eğitim #Shorts;131;125
2027-02-09;Sal;Ders Taktiği;TYT Türkçe;Anlatım bozukluğu;Cümleyi sesli oku. Kulak, kuraldan hızlı yakalar.;öğrenci;soru-cozum;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:12;18:12;ramazan;20:12;20:42;19:42;#yks2027 #yks #türkçe #derstaktikleri #eğitimkoçluğu;#yks2027 #yks #türkçe #derstaktikleri #keşfet;#yks2027 #türkçe #Shorts;130;124
2027-02-10;Çar;Aynı Hafta;;Paragraf yavaş;Paragrafta süre yetmiyor, hep son 5 soru boş.;öğrenci;yazisma;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:13;18:13;ramazan;20:13;20:43;19:43;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;129;123
2027-02-11;Per;Özel Gün;;YKS başvuru dönemi;Başvuru ayı: kimlik, fotoğraf, ücret. Son güne bırakmayın.;veli;tek-cumle;;tahmini;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:14;18:14;ramazan;20:14;20:44;19:44;#yks2027 #lgs #eğitim #mersin #eğitimkoçluğu;#yks2027 #lgs #eğitim #mersin #keşfet;#yks2027 #eğitim #Shorts;128;122
2027-02-12;Cum;Doğru Bilinen Yanlışlar;;Ezber her şeydir;Tarih bile ezber değil, sıralama.;öğrenci;efsane-gercek;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:15;18:15;ramazan;20:15;20:45;19:45;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #eğitimkoçluğu;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #keşfet;#yks2027 #doğrubilinenyanlışlar #Shorts;127;121
2027-02-13;Cmt;Deneme Günü;;AYT denemesi;AYT denemesi TYT'den uzun. Enerji planı yap.;öğrenci;kart-liste;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:17;18:17;ramazan;20:17;20:47;19:47;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;126;120
2027-02-14;Paz;Pazar Akşamı;;Telefonsuz akşam;Bu akşam bir saat telefonsuz. Sadece bir saat.;öğrenci;tek-cumle;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:18;18:18;ramazan;20:18;20:48;19:48;#yks2027 #yks #sınavkaygısı #pazarakşamı #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #pazarakşamı #keşfet;#yks2027 #sınavkaygısı #Shorts;125;119
2027-02-15;Pzt;Haftanın Planı;;Deneme haftası planı;Deneme olan hafta yeni konu açma.;öğrenci;kart-liste;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:19;18:19;ramazan;20:19;20:49;19:49;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;124;118
2027-02-16;Sal;Ders Taktiği;Geometri;Yardımcı çizgi;Takıldın mı? Bir yardımcı çizgi çek: dikme ya da paralel.;öğrenci;soru-cozum;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:20;18:20;ramazan;20:20;20:50;19:50;#yks2027 #yks #geometri #tytkampı #eğitimkoçluğu;#yks2027 #yks #geometri #tytkampı #keşfet;#yks2027 #geometri #Shorts;123;117
2027-02-17;Çar;Aynı Hafta;;Ezberim uçuyor;Tarihi çalışıyorum, iki gün sonra hiçbir şey kalmıyor.;öğrenci;yazisma;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:21;18:21;ramazan;20:21;20:51;19:51;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;122;116
2027-02-18;Per;Veli Köşesi;;Öğretmenle iletişim;Rehber öğretmenle ne zaman görüşmeli?;veli;kart-veli;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:22;18:22;ramazan;20:22;20:52;19:52;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;121;115
2027-02-19;Cum;Doğru Bilinen Yanlışlar;;Koç = öğretmen;Koç ders anlatmaz. Seni takip eder.;öğrenci;efsane-gercek;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:23;18:23;ramazan;20:23;20:53;19:53;#yks2027 #yks #çalışmayöntemleri #bilgi #eğitimkoçluğu;#yks2027 #yks #çalışmayöntemleri #bilgi #keşfet;#yks2027 #çalışmayöntemleri #Shorts;120;114
2027-02-20;Cmt;Deneme Günü;;Deneme karşılaştırma;Kendinle karşılaştır. Arkadaşınla değil.;öğrenci;kart-liste;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:24;18:24;ramazan;20:24;20:54;19:54;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;119;113
2027-02-21;Paz;Pazar Akşamı;;İyi ki çalıştın;Yorgunsan, çalıştığın içindir.;öğrenci;tek-cumle;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:25;18:25;ramazan;20:25;20:55;19:55;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;118;112
2027-02-22;Pzt;Haftanın Planı;;Plan ile program farkı;Program okulun. Plan senin. İkisini karıştırma.;öğrenci;kart-liste;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:26;18:26;ramazan;20:26;20:56;19:56;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;117;111
2027-02-23;Sal;Ders Taktiği;TYT Matematik;Oran orantı;Oran sorusunda k kullan. Karmaşa biter.;öğrenci;soru-cozum;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:27;18:27;ramazan;20:27;20:57;19:57;#yks2027 #yks #matematik #konuanlatımı #eğitimkoçluğu;#yks2027 #yks #matematik #konuanlatımı #keşfet;#yks2027 #matematik #Shorts;116;110
2027-02-24;Çar;Aynı Hafta;;Kardeşim gürültü;Evde çalışacak sessiz yer yok.;öğrenci;yazisma;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:28;18:28;ramazan;20:28;20:58;19:58;#yks2027 #yks #sınavkaygısı #öğrenci #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #öğrenci #keşfet;#yks2027 #sınavkaygısı #Shorts;115;109
2027-02-25;Per;Veli Köşesi;;Ekran süresi;Telefon yasak değil. Saatli.;veli;kart-veli;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:29;18:29;ramazan;20:29;20:59;19:59;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;114;108
2027-02-26;Cum;Doğru Bilinen Yanlışlar;;Yanlış soruya bakılmaz;Yanlış sorun, bir sonraki doğrun.;öğrenci;efsane-gercek;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:30;18:30;ramazan;20:30;21:00;20:00;#yks2027 #yks #bilgi #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #bilgi #verimliçalışma #keşfet;#yks2027 #bilgi #Shorts;113;107
2027-02-27;Cmt;Deneme Günü;;Konu eksiği mi, dikkat mi;Yanlışını ikiye ayır: bilmediğim, dikkatsizlik.;öğrenci;kart-liste;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:31;18:31;ramazan;20:31;21:01;20:01;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #eğitimkoçluğu;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #keşfet;#yks2027 #denemeanalizi #Shorts;112;106
2027-02-28;Paz;Pazar Akşamı;;Pes etmek istemek;Bırakmak istemek normal. Bırakmamak da seçim.;öğrenci;tek-cumle;;kesin;Gerçeklik;İkinci dönem, başvuru ayı, Ramazan. Sınav artık gerçek.;gün batımı 18:32;18:32;ramazan;20:32;21:02;20:02;#yks2027 #yks #yksmotivasyon #psikoloji #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #psikoloji #keşfet;#yks2027 #yksmotivasyon #Shorts;111;105
2027-03-01;Pzt;Haftanın Planı;;Sınavdan geriye plan;Sınavdan geriye say: bu hafta hangi dilimdesin?;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:33;18:33;ramazan;20:33;21:03;20:03;#yks2027 #yks #zamanyönetimi #dersprogramı #eğitimkoçluğu;#yks2027 #yks #zamanyönetimi #dersprogramı #keşfet;#yks2027 #zamanyönetimi #Shorts;110;104
2027-03-02;Sal;Ders Taktiği;Tarih;Neden–sonuç zinciri;Tarih sorusu ‘neden’ sorar. Olayı değil sebebi bil.;öğrenci;soru-cozum;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:34;18:34;ramazan;20:34;21:04;20:04;#yks2027 #yks #tarih #sorubankası #eğitimkoçluğu;#yks2027 #yks #tarih #sorubankası #keşfet;#yks2027 #tarih #Shorts;109;103
2027-03-03;Çar;Aynı Hafta;;Bayram çalışması;Bayramda çalışmazsam geri kalır mıyım?;öğrenci;yazisma;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:35;18:35;ramazan;20:35;21:05;20:05;#yks2027 #yks #öğrenci #öğrencihayatı #eğitimkoçluğu;#yks2027 #yks #öğrenci #öğrencihayatı #keşfet;#yks2027 #öğrenci #Shorts;108;102
2027-03-04;Per;Veli Köşesi;;Bayram ziyaretleri;‘Kaç net yapıyorsun?’ sorusundan çocuğunuzu koruyun.;veli;kart-veli;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:36;18:36;ramazan;20:36;21:06;20:06;#yks2027 #lgs #velirehberi #mersin #eğitimkoçluğu;#yks2027 #lgs #velirehberi #mersin #keşfet;#yks2027 #velirehberi #Shorts;107;101
2027-03-05;Cum;Doğru Bilinen Yanlışlar;;Bayramda çalışılmaz;Bayramda çalışmamak geri bırakmaz. Hiç dönmemek bırakır.;öğrenci;efsane-gercek;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:37;18:37;ramazan;20:37;21:07;20:07;#yks2027 #yks #verimliçalışma #dersçalışma #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #dersçalışma #keşfet;#yks2027 #verimliçalışma #Shorts;106;100
2027-03-06;Cmt;Deneme Günü;;Bayram denemesi;Uzun tatilin bir gününü deneme günü yap.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:38;18:38;ramazan;20:38;21:08;20:08;#yks2027 #yks #türkiyegenelideneme #denemesınavı #eğitimkoçluğu;#yks2027 #yks #türkiyegenelideneme #denemesınavı #keşfet;#yks2027 #türkiyegenelideneme #Shorts;105;99
2027-03-07;Paz;Pazar Akşamı;;Yavaş ilerleme;Yavaş ilerlemek, durmaktan iyidir.;öğrenci;tek-cumle;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:39;18:39;ramazan;20:39;21:09;20:09;#yks2027 #yks #psikoloji #motivasyon #eğitimkoçluğu;#yks2027 #yks #psikoloji #motivasyon #keşfet;#yks2027 #psikoloji #Shorts;104;98
2027-03-08;Pzt;Özel Gün;;Arife ve ara tatil;Bayram ve ara tatil birleşti. Her gün 1 saat kural.;öğrenci;tek-cumle;;tahmini;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:40;18:40;ramazan;20:40;21:10;20:10;#yks2027 #yks #eğitim #öğrenci #eğitimkoçluğu;#yks2027 #yks #eğitim #öğrenci #keşfet;#yks2027 #eğitim #Shorts;103;97
2027-03-09;Sal;Özel Gün;;Ramazan Bayramı;Bayramınız mübarek olsun.;herkes;tek-cumle;;tahmini;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:41;18:41;bayram;11:00;13:00;11:00;#yks2027 #yks #eğitim #öğrenci #eğitimkoçluğu;#yks2027 #yks #eğitim #öğrenci #keşfet;#yks2027 #eğitim #Shorts;102;96
2027-03-10;Çar;Aynı Hafta;;Son 100 gün paniği;100 gün kalmış. Hiçbir şey yetişmeyecek.;öğrenci;yazisma;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:42;18:42;bayram;11:00;13:00;11:00;#yks2027 #yks #öğrencihayatı #sınavstresi #eğitimkoçluğu;#yks2027 #yks #öğrencihayatı #sınavstresi #keşfet;#yks2027 #öğrencihayatı #Shorts;101;95
2027-03-11;Per;Özel Gün;;YKS'ye 100 gün;100 gün. Yeni konu değil, tekrar zamanı başlıyor.;öğrenci;tek-cumle;;tahmini;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:43;18:43;bayram;11:00;13:00;11:00;#yks2027 #yks #eğitim #mersin #eğitimkoçluğu;#yks2027 #yks #eğitim #mersin #keşfet;#yks2027 #eğitim #Shorts;100;94
